student_id,name,age,gender,department,semester,attendance_percentage,study_hours_per_day,assignment_completion_percentage,internal_marks,previous_gpa,risk_level
STU00307,Student_307,23,Male,Electronics,1,93.07,5.66,50.59,55.33,9.14,Low
STU00308,Student_308,24,Male,Computer Science,2,94.83,2.12,40.07,35.37,5.93,High
STU00309,Student_309,20,Female,Mechanical,6,89.07,3.7,44.25,52.98,9.08,Medium
STU00310,Student_310,20,Male,Civil,3,58.46,5.62,69.92,53.84,8.63,Medium
STU00311,Student_311,22,Female,Computer Science,4,71.78,5.04,46.87,47.38,7.31,High
STU00312,Student_312,19,Female,Electronics,7,87.59,5.41,74.92,72.04,7.03,Medium
STU00313,Student_313,18,Male,Information Technology,6,99.25,4.5,52.39,67.95,8.61,Low
STU00314,Student_314,24,Female,Electronics,4,76.64,6.63,86.85,74.8,7.81,Low
STU00315,Student_315,19,Male,Civil,3,66.24,3.43,89.34,48.02,7.91,Medium
STU00316,Student_316,18,Male,Civil,8,91.68,7.72,58.05,65.76,5.56,Medium
STU00317,Student_317,19,Female,Computer Science,4,81.04,7.66,72.24,68.41,4.52,Medium
STU00318,Student_318,22,Male,Civil,7,97.19,5.4,77.75,56.56,6.24,Medium
STU00319,Student_319,20,Male,Civil,2,59.18,6.31,58.4,58.26,4.57,High
STU00320,Student_320,24,Male,Mechanical,3,62.96,2.09,93.29,52.33,9.81,Medium
STU00321,Student_321,18,Female,Information Technology,4,88.2,2.07,40.7,41.68,7.12,High
STU00322,Student_322,20,Female,Computer Science,1,88.54,3.96,80.06,64.15,9.19,Low
STU00323,Student_323,21,Female,Electronics,3,77.6,2.95,95.36,48.54,7.36,Medium
STU00324,Student_324,24,Female,Electronics,5,97.4,7.96,94.02,77.53,9.54,Low
STU00325,Student_325,21,Male,Information Technology,3,96.06,1.31,78.1,47.68,4.61,High
STU00326,Student_326,22,Male,Computer Science,2,77.1,5.37,78.55,57.77,7.82,Medium
STU00327,Student_327,24,Male,Civil,6,93.22,4.02,78.08,57.7,7.52,Medium
STU00328,Student_328,22,Female,Information Technology,2,61.31,6.69,58.04,46.53,4.93,High
STU00329,Student_329,19,Male,Mechanical,1,87.22,4.01,40.6,66.18,10.0,Medium
STU00330,Student_330,24,Female,Computer Science,4,64.97,4.91,81.16,55.88,9.72,Low
STU00331,Student_331,18,Female,Mechanical,3,87.43,6.59,97.56,60.67,6.29,Low
STU00332,Student_332,19,Female,Electronics,4,96.43,5.6,46.57,63.15,7.81,Medium
STU00333,Student_333,18,Female,Civil,7,76.06,5.74,92.85,62.96,7.13,Medium
STU00334,Student_334,18,Male,Mechanical,3,94.48,3.49,54.58,58.32,6.37,High
STU00335,Student_335,19,Female,Mechanical,5,90.09,7.83,63.27,66.81,9.55,Low
STU00336,Student_336,19,Male,Mechanical,1,73.38,1.86,93.2,51.07,7.05,High
STU00337,Student_337,19,Male,Electronics,4,95.19,4.99,61.28,53.14,7.96,Medium
STU00338,Student_338,19,Male,Electronics,7,63.97,6.17,42.72,54.95,4.87,High
STU00339,Student_339,21,Female,Civil,5,65.18,4.16,90.1,47.88,6.74,High
STU00340,Student_340,22,Male,Civil,8,71.17,6.83,84.71,58.72,6.17,Medium
STU00341,Student_341,21,Male,Computer Science,3,70.15,2.02,53.95,54.04,7.18,High
STU00342,Student_342,18,Male,Computer Science,8,75.07,2.54,97.05,64.76,7.31,Medium
STU00343,Student_343,19,Male,Computer Science,2,70.6,5.54,66.19,64.58,9.48,Low
STU00344,Student_344,22,Male,Information Technology,6,83.01,6.04,63.36,63.15,6.46,Medium
STU00345,Student_345,20,Male,Information Technology,7,67.13,5.94,61.97,68.29,9.34,Low
STU00346,Student_346,19,Female,Computer Science,3,79.81,4.28,65.25,63.87,9.95,Low
STU00347,Student_347,23,Male,Civil,2,65.73,7.54,61.05,70.13,9.3,Low
STU00348,Student_348,19,Female,Mechanical,3,82.43,1.11,74.15,42.31,6.34,High
STU00349,Student_349,23,Male,Computer Science,4,57.32,3.85,70.13,52.81,7.3,High
STU00350,Student_350,20,Female,Electronics,7,84.06,2.2,84.07,55.25,8.74,Medium
STU00351,Student_351,22,Male,Information Technology,7,55.63,2.79,84.59,64.32,9.77,Medium
STU00352,Student_352,20,Male,Civil,8,90.52,2.93,68.83,66.06,9.61,Medium
STU00353,Student_353,24,Male,Mechanical,8,64.99,3.04,83.72,56.52,8.2,Medium
STU00354,Student_354,20,Female,Mechanical,4,84.82,1.57,55.11,51.0,7.61,High
STU00355,Student_355,22,Male,Mechanical,4,83.03,2.94,87.69,53.22,6.95,Medium
STU00356,Student_356,21,Female,Electronics,6,77.28,7.37,53.38,60.16,9.3,Low
STU00357,Student_357,19,Male,Information Technology,1,92.61,7.34,94.7,69.58,7.38,Low
STU00358,Student_358,20,Male,Computer Science,1,60.71,1.17,76.72,40.78,7.76,High
STU00359,Student_359,20,Male,Mechanical,4,71.16,3.15,52.3,34.17,4.89,High
STU00360,Student_360,24,Female,Electronics,4,78.48,2.82,63.34,62.8,8.65,Medium
STU00361,Student_361,23,Female,Civil,3,81.35,4.29,98.91,58.05,5.25,Medium
STU00362,Student_362,23,Male,Electronics,5,73.47,3.19,60.29,45.39,6.5,High
STU00363,Student_363,22,Male,Information Technology,5,76.27,7.65,53.78,61.58,4.85,Medium
STU00364,Student_364,18,Male,Information Technology,3,65.1,3.72,73.84,48.18,8.22,High
STU00365,Student_365,23,Female,Computer Science,4,87.29,7.35,83.43,74.54,5.4,Low
STU00366,Student_366,24,Male,Mechanical,5,69.37,6.3,48.75,52.73,6.82,High
STU00367,Student_367,22,Male,Computer Science,6,96.82,2.24,53.15,46.6,9.23,Medium
STU00368,Student_368,24,Male,Mechanical,2,80.02,3.52,44.54,52.51,5.91,High
STU00369,Student_369,21,Male,Electronics,4,69.79,6.74,86.87,79.63,9.22,Low
STU00370,Student_370,20,Male,Computer Science,4,91.54,5.04,57.47,58.01,9.51,Low
STU00371,Student_371,20,Female,Electronics,2,96.52,2.42,75.8,43.42,5.49,High
STU00372,Student_372,23,Male,Civil,4,83.74,5.3,63.37,54.04,6.32,Medium
STU00373,Student_373,20,Male,Computer Science,6,67.99,7.07,43.75,55.5,6.99,Medium
STU00374,Student_374,19,Female,Information Technology,4,94.6,6.53,59.32,58.41,4.84,Medium
STU00375,Student_375,23,Female,Mechanical,2,80.62,2.4,77.49,52.96,7.12,High
STU00376,Student_376,21,Male,Civil,7,55.57,6.03,49.39,47.14,5.51,High
STU00377,Student_377,18,Male,Information Technology,4,56.99,3.24,79.14,50.19,8.04,High
STU00378,Student_378,19,Male,Mechanical,6,98.07,5.3,69.01,57.43,7.16,Medium
STU00379,Student_379,21,Male,Information Technology,3,84.96,3.82,74.7,66.55,6.79,Medium
STU00380,Student_380,23,Female,Information Technology,7,76.61,4.93,75.75,65.14,7.77,Medium
STU00381,Student_381,22,Male,Civil,3,96.36,2.82,92.05,63.9,6.02,Medium
STU00382,Student_382,21,Female,Electronics,1,91.64,5.64,83.56,55.71,6.27,Medium
STU00383,Student_383,21,Female,Electronics,5,87.31,5.12,89.53,79.34,9.54,Low
STU00384,Student_384,23,Female,Electronics,2,86.28,2.14,50.9,50.93,5.66,High
STU00385,Student_385,24,Female,Information Technology,7,69.99,6.17,95.86,74.24,6.52,Medium
STU00386,Student_386,24,Female,Mechanical,1,84.69,2.16,91.41,51.84,4.63,High
STU00387,Student_387,24,Male,Electronics,1,67.45,7.69,69.3,59.75,4.83,Medium
STU00388,Student_388,23,Female,Computer Science,8,98.68,7.39,93.78,80.81,6.93,Low
STU00389,Student_389,23,Male,Mechanical,8,78.35,4.96,72.23,48.7,5.68,High
STU00390,Student_390,18,Female,Mechanical,1,64.89,6.8,54.26,68.65,8.26,Medium
STU00391,Student_391,22,Male,Electronics,5,74.53,4.38,64.08,45.24,4.75,High
STU00392,Student_392,22,Female,Information Technology,7,69.47,6.74,94.54,78.51,9.62,Low
STU00393,Student_393,18,Male,Civil,3,88.7,7.06,81.07,74.26,6.67,Low
STU00394,Student_394,22,Male,Information Technology,4,80.37,6.76,49.43,71.59,7.78,Medium
STU00395,Student_395,23,Female,Electronics,7,85.81,6.03,70.33,59.21,8.54,Low
STU00396,Student_396,23,Male,Civil,3,95.53,4.08,42.16,46.68,6.03,High
STU00397,Student_397,19,Male,Information Technology,3,70.86,6.59,67.37,49.77,4.94,High
STU00398,Student_398,19,Male,Computer Science,7,75.07,5.09,56.95,67.27,9.37,Medium
STU00399,Student_399,23,Female,Computer Science,3,82.34,4.44,92.96,62.28,9.46,Low
STU00400,Student_400,18,Female,Information Technology,1,89.68,3.61,93.2,65.79,5.13,Medium
STU00401,Student_401,20,Female,Electronics,5,93.58,4.14,53.68,58.1,4.98,High
STU00402,Student_402,19,Female,Information Technology,6,63.28,5.9,51.61,66.28,8.65,Medium
STU00403,Student_403,24,Female,Electronics,4,93.3,2.37,52.0,42.69,5.39,High
STU00404,Student_404,19,Male,Electronics,5,83.63,4.03,90.88,65.86,6.88,Medium
STU00405,Student_405,18,Male,Mechanical,7,60.29,5.14,81.24,59.98,7.01,Medium
STU00406,Student_406,23,Male,Electronics,4,74.16,4.46,79.98,52.9,8.58,Medium
STU00407,Student_407,20,Female,Information Technology,3,63.78,1.61,48.92,34.35,6.96,High
STU00408,Student_408,22,Female,Information Technology,1,84.72,5.53,95.66,72.1,9.07,Low
STU00409,Student_409,18,Female,Information Technology,3,95.87,5.44,79.89,58.56,6.13,Medium
STU00410,Student_410,20,Female,Information Technology,1,66.1,6.65,84.57,58.92,8.64,Low
STU00411,Student_411,20,Male,Electronics,4,67.86,4.85,88.43,61.85,6.91,Medium
STU00412,Student_412,23,Male,Electronics,5,62.99,4.81,57.01,52.67,9.28,Medium
STU00413,Student_413,23,Female,Civil,3,82.87,7.3,52.99,58.91,6.27,Medium
STU00414,Student_414,18,Male,Civil,1,93.08,3.52,80.35,57.33,4.78,High
STU00415,Student_415,22,Male,Computer Science,5,84.13,7.96,58.83,62.34,4.59,Medium
STU00416,Student_416,22,Female,Information Technology,3,84.86,1.31,72.82,56.72,5.8,High
STU00417,Student_417,23,Male,Civil,6,94.87,2.31,98.19,59.03,7.24,Medium
STU00418,Student_418,18,Male,Civil,3,86.7,6.21,94.17,75.23,6.04,Low
STU00419,Student_419,19,Female,Information Technology,4,55.89,5.88,40.35,51.37,7.57,High
STU00420,Student_420,18,Male,Electronics,2,95.94,2.29,94.41,55.6,6.64,Medium
STU00421,Student_421,24,Female,Computer Science,1,74.55,3.98,73.41,52.37,9.33,Medium
STU00422,Student_422,19,Male,Civil,6,83.72,5.74,77.92,56.88,5.74,Medium
STU00423,Student_423,22,Male,Computer Science,5,90.18,4.4,57.2,55.45,8.95,Medium
STU00424,Student_424,23,Female,Electronics,1,92.8,1.34,44.19,39.88,5.63,High
STU00425,Student_425,18,Female,Electronics,5,87.41,3.64,60.46,52.53,8.68,Medium
STU00426,Student_426,21,Female,Mechanical,2,92.96,2.06,63.14,47.09,9.78,Medium
STU00427,Student_427,19,Male,Computer Science,6,58.41,3.29,76.71,50.21,9.81,Medium
STU00428,Student_428,19,Female,Mechanical,5,74.51,6.69,89.59,54.54,5.09,Medium
STU00429,Student_429,20,Male,Electronics,6,55.1,5.35,96.94,69.59,8.59,Medium
STU00430,Student_430,18,Female,Computer Science,3,70.4,1.49,80.84,54.83,6.51,High
STU00431,Student_431,21,Male,Civil,8,82.19,6.28,62.43,69.34,6.85,Medium
STU00432,Student_432,22,Male,Information Technology,3,67.99,5.4,82.93,74.41,9.26,Low
STU00433,Student_433,20,Female,Civil,7,64.7,2.48,76.55,60.81,8.84,Medium
STU00434,Student_434,18,Male,Electronics,6,87.01,3.87,86.5,68.14,6.9,Medium
STU00435,Student_435,22,Male,Information Technology,7,79.98,6.97,60.42,57.14,8.04,Low
STU00436,Student_436,21,Male,Computer Science,7,58.19,7.43,95.6,82.92,9.99,Low
STU00437,Student_437,22,Female,Mechanical,3,88.78,5.94,78.7,73.98,9.44,Low
STU00438,Student_438,20,Female,Information Technology,2,59.13,2.51,51.55,43.31,9.33,High
STU00439,Student_439,19,Female,Information Technology,6,92.73,5.69,66.38,52.95,4.54,High
STU00440,Student_440,21,Female,Civil,8,84.26,3.64,99.31,64.45,5.27,Medium
STU00441,Student_441,20,Male,Electronics,4,67.69,7.42,86.92,79.18,8.91,Low
STU00442,Student_442,22,Female,Civil,5,95.32,4.6,79.24,58.65,8.66,Low
STU00443,Student_443,23,Male,Electronics,7,57.43,1.17,54.89,29.2,5.01,High
STU00444,Student_444,20,Male,Computer Science,4,82.32,7.58,58.18,63.23,9.51,Low
STU00445,Student_445,20,Male,Civil,5,78.56,1.57,94.76,57.65,4.67,High
STU00446,Student_446,19,Male,Civil,4,80.01,1.04,66.02,52.0,5.97,High
STU00447,Student_447,20,Male,Information Technology,5,91.54,6.63,92.12,70.01,9.88,Low
STU00448,Student_448,20,Male,Computer Science,1,60.64,4.54,68.68,63.29,9.58,Medium
STU00449,Student_449,18,Male,Mechanical,2,88.18,7.6,62.43,77.63,7.76,Low
STU00450,Student_450,18,Male,Information Technology,7,96.58,3.81,88.04,56.8,5.84,Medium
STU00451,Student_451,22,Male,Civil,2,92.11,3.6,68.25,52.98,5.93,High
STU00452,Student_452,24,Female,Information Technology,2,96.47,4.97,47.15,61.66,9.5,Low
STU00453,Student_453,24,Male,Computer Science,2,88.09,6.76,90.12,79.06,7.87,Low
STU00454,Student_454,24,Female,Computer Science,2,58.37,5.21,75.88,45.53,5.91,High
STU00455,Student_455,21,Male,Civil,1,95.22,5.57,55.83,60.3,6.97,Medium
STU00456,Student_456,24,Female,Mechanical,3,92.53,4.88,92.64,61.29,8.02,Low
STU00457,Student_457,22,Female,Mechanical,6,73.79,4.76,74.44,61.44,4.69,High
STU00458,Student_458,21,Female,Information Technology,2,87.79,3.56,77.69,54.97,7.84,Medium
STU00459,Student_459,19,Male,Information Technology,2,93.9,4.83,99.65,69.77,5.2,Medium
STU00460,Student_460,20,Male,Information Technology,1,56.34,1.59,52.51,34.13,6.05,High
STU00461,Student_461,24,Male,Electronics,4,89.39,4.14,67.95,67.03,7.64,Medium
STU00462,Student_462,19,Female,Mechanical,8,98.52,6.74,98.72,84.21,9.34,Low
STU00463,Student_463,22,Female,Electronics,1,67.05,7.7,93.48,80.28,9.61,Low
STU00464,Student_464,24,Male,Computer Science,5,93.07,2.62,82.46,57.66,9.2,Medium
STU00465,Student_465,18,Male,Civil,4,55.46,4.92,40.18,55.54,7.82,High
STU00466,Student_466,23,Male,Computer Science,4,84.98,3.16,86.92,56.06,9.8,Low
STU00467,Student_467,18,Male,Computer Science,7,75.04,2.9,60.33,37.07,5.15,High
STU00468,Student_468,21,Male,Electronics,1,79.68,3.98,77.28,51.59,8.57,Medium
STU00469,Student_469,21,Male,Civil,7,70.63,1.58,89.5,48.2,6.86,High
STU00470,Student_470,21,Female,Computer Science,2,60.69,3.38,48.33,54.05,9.58,High
STU00471,Student_471,24,Male,Computer Science,2,81.28,2.35,44.12,40.94,6.5,High
STU00472,Student_472,24,Female,Mechanical,6,99.4,7.73,92.39,64.72,5.3,Low
STU00473,Student_473,21,Male,Mechanical,8,85.3,4.2,60.4,62.99,8.98,Medium
STU00474,Student_474,18,Female,Electronics,6,73.47,3.24,63.16,42.16,5.15,High
STU00475,Student_475,22,Male,Information Technology,1,68.95,7.88,54.96,57.08,6.46,Medium
STU00476,Student_476,23,Male,Information Technology,8,81.88,4.29,72.18,62.09,4.61,High
STU00477,Student_477,22,Female,Civil,5,59.31,4.21,43.75,54.7,8.66,High
STU00478,Student_478,23,Male,Electronics,8,68.59,3.92,72.49,46.33,6.05,High
STU00479,Student_479,18,Female,Information Technology,4,84.83,7.63,53.15,74.69,8.59,Low
STU00480,Student_480,24,Male,Civil,8,94.8,2.54,84.52,55.93,7.97,Medium
STU00481,Student_481,20,Male,Mechanical,7,73.34,1.49,66.68,57.94,8.62,High
STU00482,Student_482,21,Female,Electronics,6,79.35,5.15,66.65,69.15,8.12,Medium
STU00483,Student_483,23,Female,Electronics,1,77.6,7.13,81.02,68.7,7.26,Low
STU00484,Student_484,23,Female,Computer Science,5,62.42,6.82,47.14,62.68,7.29,Medium
STU00485,Student_485,19,Female,Computer Science,7,93.24,2.15,83.09,56.65,7.88,Medium
STU00486,Student_486,21,Male,Mechanical,7,55.46,7.89,94.1,62.66,8.69,Low
STU00487,Student_487,23,Female,Civil,3,97.97,1.45,46.48,41.3,7.99,High
STU00488,Student_488,24,Female,Electronics,7,58.28,6.4,66.7,73.68,9.82,Low
STU00489,Student_489,23,Male,Mechanical,2,88.51,7.66,74.3,71.23,7.43,Low
STU00490,Student_490,19,Male,Mechanical,2,91.42,5.35,79.27,59.62,5.13,Medium
STU00491,Student_491,22,Female,Computer Science,8,97.47,7.55,56.57,55.16,5.31,Medium
STU00492,Student_492,24,Male,Computer Science,7,86.9,4.64,75.76,52.76,5.06,High
STU00493,Student_493,23,Male,Mechanical,5,67.69,3.85,82.94,56.33,6.64,High
STU00494,Student_494,20,Male,Civil,4,72.1,1.37,41.39,44.68,7.57,High
STU00495,Student_495,19,Male,Civil,5,70.27,2.93,42.15,58.43,9.01,High
STU00496,Student_496,23,Female,Electronics,1,82.92,2.57,75.77,48.14,6.57,High
STU00497,Student_497,24,Male,Information Technology,6,62.52,1.96,72.51,42.58,8.2,High
STU00498,Student_498,20,Male,Information Technology,7,70.03,6.74,76.84,56.4,6.5,Medium
STU00499,Student_499,21,Female,Electronics,8,84.41,1.03,43.48,41.16,8.79,High
STU00500,Student_500,24,Male,Civil,4,59.78,2.11,55.13,34.36,4.82,High
